suburb,incident_date,injuries,offender,victim,
Bannockburn,2/4/12,Minor Bites,staffy's,Dog,
Avalon,10/4/12,Mauled,U/K,Sheep,
Lovely Banks,14/4/12,Minor Bites,U/K,Dog &bitten,
Indented Heads,18/4/12,Minor Bites,Staffy,Dog bitten,
Little River,23/4/12,Minor Bites,Blue Heelers,Dog bitten,
Grovedale,12/4/12,pants torn,U/K,Child Bitten,
Bell Park,13/4/12,Pulled at pants,maltese x,Person bitten,
Corio,23/4/12,Bruise,U/K,Child Bitten,
corio,2/5/12,vet treatment required,staffy,dog,
Leopold,7/5/12,Dead,Husky,Chooks,
Lara,9/5/12,Dead,pitbull type,Sheep,
Leopold,15/5/12,dead,Unknown,Chooks Guinea pig,
Corio,1/5/12,Taken to vet,staffy,dog,
Norlane,4/5/12,Bite,Unknown,Dog,
Corio,4/5/12,bite,Unknown,dog,
Leopold,15/5/12,bite,Unknown,cat,
Corio,16/5/12,bite,Husky,cat,
Lara,16/5/12,Taken to vet,staffys,dog,
Indented Heads,17/5/12,Taken to vet,Staffyx,dog,
Norlane,19/5/12,Dead,Unknown,sheep?,
St Leonards,14/5/12,bite wound,Unknown,personbitten ,
Norlane,17/5/12,monor bite,border collie, person,
Newcomb,15/5/12,minor bite on hand,border collie,personbitten ,
Portarlington,19/5/12,bite on leg,Daschund,personbitten ,
corio,23/5/12,Dead,pitbull type,Dog,
St Leonards,23/5/12,Taken to vet,Alsatian,dog,
Grovedale,24/5/12,No injuries,Unknown,dog,
Grovedale,24/5/12,Taken to vet,Unknown,dog,
Ocean Grove,26/5/12,broken skin,Unknown,personbitten ,
St Leonards,27/5/12,Taken to vet,Unknown,dog,
Lara,23/5/12,Dead,Unknown,sheep,
East Geelong,21/5/12,broken skin,Staffy,dog,
East Geelong,1/6/12,broken skin,Unknown,personbitten ,
Corio,3/6/12,Dead,American Staffy/English Staffy,dog,
Wallington,12/6/12,Dead,Unknown,sheep,
Bell Post Hill,18/6/12,person had skin graft,Boxer,dog/person,
Ocean Grove,26/6/12,Dead,Bedlington,chickens,
Leopold,27/6/12,None,German Shepherd,Dog,
Lara,16/6/12,Unknown,Unknown,Unknown,
Highton,12/6/12,broken skin,Mini/Doberman,personbitten ,
Clifton Springs,12/6/12,None,Kelpie X,Dog,
Belmont,19/6/12,broken skin,Fox Terrier X,Person ,
Highton,31/7/12,,GreyhoundBull Dog,Dog,
Corio,,Death,Red Heeler,Cat,
Corio,19/7/12,Death,,Dog,
Hamlyn Heights,14/7/12,Death,Unsure,Budgies,
Waurn Ponds,11/7/12,,Spoodle,Dog,
Grovedale,25/7/12,Missing Feathers,Staghound/CrossBull Arab Cross,Chicken,
Ocean Grove,24/8/12,Death,,Swan,
Barwon Heads,25/8/12,Death,Ridgeback/Bull Mastiff,Chicken,
Newcomb,17/8/12,Broken Skin,Lab?,Person,
Belmont,3/8/12,Broken Skin,Kelpie,Person,
Grovedale,1/8/12,Stitches Required,Lab,Dog,
Clifton Springs,22/8/12,Severe Tearing,Border CollieBull Mastiff/Cross,Dog,
Norlane,2/8/12,,Staffordshire/Bull Terrier,Dog,
Bell Post Hill,15/8/12,,Kelpie/Cross,Dog,
Bell Post Hill,19/8/12,Puncture Marks,Staffordshire/Bull Terrier,Dog,
Clifton Springs,,PunctureMarks,Siberian Husky,Dog,
Corio,30/7/12,Puncture Marks,Blue Heeler/Kelpie,Person,
Indented heads,30/8/12,Puncture Marks,Koolie,Person,
Leopold,12/9/12,Death,Unsure,Chickens,
Ceres,6/9/12,Death,Unsure,Sheep,
Clifton Springs,4/9/12,Broken Skin,Unsure,Dog,
Corio,3/9/12,Broken Skin,                                                                                                                ,Person,
Drysdale,3/9/12,Bruised,Border Collie,Dog,
East Geelong,28/8/12,,Unsure,Person,
Highton,15/9/12,,German Shepherd,Person,
Clifton Springs,1/9/12,Broken Skin,Schnauzer,Dog,
Belmont,9/9/12,Death,German Shepherd,Dog,
Highton,6/9/12,Puncher Wound,,Person,
Norlane,2/9/12,Puncher Wound,Red Heeler,Dog,
,,,,,
Indented Head,9/9/12,Death,Curly Haired/Retriever,Chicken,
St Leonards,23/9/12,Bite,Lhasa Apso,Person,
Belmont,9/9/12,Death,,Dog,
Newtown,24/9/12,,Staffy,Dog,
Anakie,8/10/12,Bruising,Alsation,Person,
Corio,2/10/12,,Border Collie,Dog,
Lara,6/10/12,Bite,Staffy,Person,
Geelong West,5/10/12,Bite,,Person,
Geelong  ,4/10/12,Bite,Bull/Staffy,Person,
Barwon Heads,4/10/12,Severe Tearing,German Shephard X,Dog,
Belmont,24/10/12,,American Bulldogs,Cat,
Lovely Banks,25/10/12,Death,,Sheep,
Hamlyn Heights,,Death,Greyhounds,Cat,
Belmont,11/10/12,,Staffy's,Dog,
Grovedale,3/11/12,Puncture,Staffy X,Person,
Newcomb,31/10/12,Death,Malamute,Chickens,
St Albans Park,12/11/12,Puncture,Staffy and a Rotty,Dog,
Highton,19/11/12,Muscle ,Staffys,Dog,
Leopold,16/11/12,Puncture,German Shepherd,Dog,
Highton,,,bull Terrier/ Pit Bull,Dog,
Lovely Banks,18/11/12,Gashes,Rotty,Person,
Manifold Heights,28/11/12,,Blue Heeler,Dog,
Clifton Springs,26/11/12,Bite,Kelpie X andGerman Shephard X,Dog,
Geelong West,19/11/12,Puncture,Bull Dog,Person,
Norlane,11/11/12,,Bull Terrier,Person,
Ocean Grove,27/12/12,Graze,Jack Russel,Person,
